,Case Number,Type,Country,Gender,Fatality
0,2016.09.18.c,Unprovoked,USA,M,N
1,2016.09.18.b,Unprovoked,USA,M,N
2,2016.09.18.a,Unprovoked,USA,M,N
3,2016.09.17,Unprovoked,AUSTRALIA,M,N
4,2016.09.15,Unprovoked,AUSTRALIA,M,N
5,2016.09.15.R,Boat,AUSTRALIA,Unknown,N
6,2016.09.11,Unprovoked,USA,M,N
7,2016.09.07,Unprovoked,USA,F,N
8,2016.09.06,Unprovoked,NEW CALEDONIA,M,Y
9,2016.09.05.b,Unprovoked,USA,F,N
10,2016.09.05.a,Unprovoked,AUSTRALIA,M,N
11,2016.09.04,Unprovoked,USA,M,N
12,2016.09.01,Unprovoked,USA,M,N
13,2016.08.29.b,Unprovoked,USA,M,N
14,2016.08.29.a,Unprovoked,USA,M,N
15,2016.08.27,Unprovoked,REUNION,M,N
16,2016.08.25,Unprovoked,USA,M,N
17,2016.08.07,Unprovoked,BAHAMAS,M,N
18,2016.08.06,Unprovoked,USA,M,N
19,2016.08.04,Unprovoked,USA,M,N
20,2016.07.29,Unprovoked,SPAIN,M,N
21,2016.07.28.R,Unprovoked,CHINA,M,N
22,2016.07.28,Boat,AUSTRALIA,M,N
23,2016.07.27,Provoked,USA,M,N
24,2016.07.26,Unprovoked,AUSTRALIA,M,N
25,2016.07.24,Unprovoked,JAPAN,M,N
26,2016.07.23.b,Unprovoked,AUSTRALIA,M,N
27,2016.07.23.a,Unprovoked,BAHAMAS,M,N
28,2016.07.20,Provoked,AUSTRALIA,M,N
29,2016.07.17,Boat,USA,Unknown,N
30,2016.07.16.b,Unprovoked,USA,F,N
31,2016.07.16.a,Unprovoked,USA,F,N
32,2016.07.15,Unprovoked,USA,M,N
33,2016.07.14.4,Unprovoked,BAHAMAS,M,N
34,2016.07.08.R,Unprovoked,SPAIN,F,N
35,2016.07.08,Boat,USA,M,N
36,2016.07.07.b,Provoked,USA,M,N
37,2016.07.07.a,Boat,USA,M,N
38,2016.07.06,Unprovoked,USA,F,N
39,2016.07.04,Provoked,AUSTRALIA,M,N
40,2016.06.27,Unprovoked,USA,M,N
41,2016.06.25,Unprovoked,USA,M,N
42,2016.06.24,Unprovoked,COLUMBIA,M,N
43,2016.06.23,Unprovoked,SOUTH AFRICA,M,N
44,2016.06.21.b,Unprovoked,USA,M,N
45,2016.06.21.a,Unprovoked,USA,M,N
46,2016.06.15.b,Unprovoked,USA,M,N
47,2016.06.15.a,Provoked,AUSTRALIA,M,N
48,2016.06.14,Unprovoked,USA,F,N
49,2016.06.11,Unprovoked,USA,M,N
50,2016.06.07,Invalid,USA,M,N
51,2016.06.05.b,Unprovoked,USA,M,N
52,2016.06.05.a,Unprovoked,AUSTRALIA,F,Y
53,2016.06.04,Unprovoked,EGYPT,M,N
54,2016.06.02.b,Unprovoked,AUSTRALIA,M,Unknown
55,2016.06.02.a,Unprovoked,NEW CALEDONIA,M,N
56,2016.05.31,Unprovoked,AUSTRALIA,M,Y
57,2016.05.29.b,Unprovoked,USA,F,N
58,2016.05.29.a,Unprovoked,USA,M,N
59,2016.05.22,Unprovoked,USA,F,N
60,2016.05.21.b,Unprovoked,USA,F,N
61,2016.05.21.a,Unprovoked,USA,F,N
62,2016.05.18,Unprovoked,USA,M,N
63,2016.05.15,Provoked,USA,F,N
64,2016.05.03,Unprovoked,USA,M,N
65,2016.05.02,Provoked,NEW ZEALAND,M,N
66,2016.04.25,Unprovoked,INDONESIA,M,N
67,2016.04.23,Unprovoked,USA,M,N
68,2016.04.22,Unprovoked,SOUTH AFRICA,M,N
69,2016.04.19,Unprovoked,AUSTRALIA,M,N
70,2016.04.18,Provoked,FRENCH POLYNESIA,M,N
71,2016.04.13,Unprovoked,USA,M,N
72,2016.04.09,Unprovoked,NEW CALEDONIA,F,Y
73,2016.04.08,Invalid,CAPE VERDE,M,N
74,2016.04.07.b,Unprovoked,USA,M,N
75,2016.04.07.a,Invalid,USA,M,N
76,2016.03.31,Unprovoked,USA,F,N
77,2016.03.30,Unprovoked,AUSTRALIA,M,N
78,2016.03.28.b,Unprovoked,USA,M,N
79,2016.03.28.a,Unprovoked,AUSTRALIA,M,N
80,2016.03.26,Provoked,BAHAMAS,M,N
81,2016.03.13,Invalid,USA,Unknown,N
82,2016.03.11,Unprovoked,USA,M,N
83,2016.03.10,Unprovoked,FIJI,M,Y
84,2016.03.04,Unprovoked,USA,M,N
85,2016.03.03.R,Unprovoked,AUSTRALIA,M,N
86,2016.03.02,Unprovoked,BRAZIL,M,N
87,2016.02.22,Unprovoked,NEW CALEDONIA,M,N
88,2016.02.19,Unprovoked,NEW CALEDONIA,M,N
89,2016.02.12,Unprovoked,DOMINICAN REPUBLIC,F,N
90,2016.02.10.R,Invalid,CAYMAN ISLANDS,M,N
91,2016.02.10,Invalid,AUSTRALIA,M,N
92,2016.02.05,Unprovoked,AUSTRALIA,F,N
93,2016.02.04,Unprovoked,AUSTRALIA,M,N
94,2016.01.29,Boat,SOUTH AFRICA,M,N
95,2016.01.28,Unprovoked,USA,M,N
96,2016.01.25,Unprovoked,USA,F,N
97,2016.01.24.b,Unprovoked,USA,M,N
98,2016.01.24.a,Boat,UNITED ARAB EMIRATES,M,N
99,2016.01.23,Unprovoked,USA,M,N
100,2016.01.11.R,Unprovoked,AUSTRALIA,M,N
101,2016.01.05,Unprovoked,AUSTRALIA,M,N
102,2016.01.02,Unprovoked,AUSTRALIA,M,N
103,2015.12.26,Boat,SOUTH AFRICA,M,N
104,2015.12.25,Unprovoked,SPAIN,F,N
105,2015.12.22,Unprovoked,USA,M,N
106,2015.12.21.b,Unprovoked,AUSTRALIA,M,N
107,2015.12.21.a,Unprovoked,BRAZIL,M,N
108,2015.12.19,Unprovoked,ARUBA,M,Y
109,2015.12.13,Boat,AUSTRALIA,Unknown,N
110,2015.12.11,Unprovoked,BAHAMAS,M,N
111,2015.12.08,Unprovoked,SOUTH AFRICA,F,N
112,2015.11.16,Unprovoked,USA,M,N
113,2015.11.15.b,Unprovoked,USA,F,N
114,2015.11.15.a,Unprovoked,USA,M,N
115,2015.11.10,Unprovoked,AUSTRALIA,M,N
116,2015.12.23,Invalid,USA,F,N
117,2015.11.03,Unprovoked,USA,M,N
118,2015.11.01.b,Unprovoked,USA,F,N
119,2015.11.01.a,Unprovoked,MOZAMBIQUE,M,N
120,2015.10.30,Unprovoked,AUSTRALIA,M,N
121,2015.10.28.a,Unprovoked,USA,M,N
122,2015.10.25,Unprovoked,SOUTH AFRICA,M,N
123,2015.10.21,Unprovoked,USA,M,N
124,2015.10.19,Unprovoked,USA,M,N
125,2015.10.17.c,Unprovoked,MOZAMBIQUE,F,Y
126,2015.10.17.b,Invalid,USA,M,N
127,2015.10.17.a,Unprovoked,USA,M,N
128,2015.10.13,Boat,USA,M,N
129,2015.10.09.b,Unprovoked,USA,F,N
130,2015.10.09.a,Unprovoked,USA,M,N
131,2015.10.08,Unprovoked,MOZAMBIQUE,M,N
132,2015.10.07,Unprovoked,AUSTRALIA,M,N
133,2015.10.05.b,Unprovoked,USA,M,N
134,2015.10.05.a,Unprovoked,USA,M,N
135,2015.10.04,Unprovoked,USA,M,N
136,2015.09.29,Unprovoked,USA,M,N
137,2015.09.26,Unprovoked,AUSTRALIA,F,N
138,2015.09.24,Unprovoked,USA,M,N
139,2015.09.20.d,Unprovoked,USA,M,N
140,2015.09.20.c,Unprovoked,USA,M,N
141,2015.09.20.b,Unprovoked,USA,M,N
142,2015.09.20.a,Unprovoked,USA,M,N
143,2015.09.18,Unprovoked,USA,M,N
144,2015.09.17,Unprovoked,USA,M,N
145,2015.09.08,Unprovoked,AUSTRALIA,M,N
146,2015.09.06,Unprovoked,USA,F,N
147,2015.09.05,Provoked,USA,M,N
148,2015.09.04,Unprovoked,AUSTRALIA,M,N
149,2015.09.03,Unprovoked,USA,M,N
150,2015.09.01,Unprovoked,THAILAND,F,N
151,2015.09.00,Unprovoked,FIJI,M,N
152,2015.08.29.b,Unprovoked,USA,F,N
153,2015.08.29.a,Unprovoked,USA,M,N
154,2015.08.22.b,Invalid,USA,M,N
155,2015.08.22.a,Unprovoked,AUSTRALIA,M,N
156,2015.08.20,Unprovoked,USA,M,N
157,2015.08.19,Unprovoked,USA,F,N
158,2015.08.18.b,Unprovoked,USA,M,N
159,2015.08.18.a,Invalid,SPAIN,M,N
160,2015.08.10,Provoked,USA,M,N
161,2015.07.31,Unprovoked,AUSTRALIA,M,N
162,2015.07.26.b,Unprovoked,USA,M,N
163,2015.07.26.a,Invalid,USA,F,N
164,2015.07.25,Unprovoked,AUSTRALIA,M,Y
165,2015.07.23.b,Provoked,USA,M,N
166,2015.07.23.a,Unprovoked,AUSTRALIA,M,N
167,2015.07.22,Unprovoked,REUNION,M,N
168,2015.07.19,Unprovoked,SOUTH AFRICA,M,N
169,2015.07.10,Unprovoked,USA,M,N
170,2015.07.08,Invalid,USA,M,N
171,2015.07.06,Invalid,FRENCH POLYNESIA,M,N
172,2015.07.04.b,Unprovoked,BAHAMAS,F,N
173,2015.07.04.a,Unprovoked,USA,M,N
174,2015.07.03,Unprovoked,AUSTRALIA,M,N
175,2015.07.02,Unprovoked,AUSTRALIA,M,N
176,2015.07.01,Unprovoked,USA,M,N
177,2015.06.30.b,Unprovoked,AUSTRALIA,M,N
178,2015.06.30.a,Unprovoked,USA,M,N
179,2015.06.27.b,Unprovoked,USA,M,N
180,2015.06.27.a,Unprovoked,SOUTH AFRICA,M,N
181,2015.06.26.c,Invalid,USA,F,N
182,2015.06.26.b,Unprovoked,SOUTH AFRICA,M,N
183,2015.06.26.a,Unprovoked,USA,M,N
184,2015.06.25.R,Provoked,AUSTRALIA,M,N
185,2015.06.25,Unprovoked,USA,M,N
186,2015.06.24.b,Unprovoked,USA,M,N
187,2015.06.24.a,Invalid,AUSTRALIA,F,N
188,2015.06.23,Unprovoked,USA,M,N
189,2015.06.19,Unprovoked,PUERTO RICO,M,N
190,2015.06.17,Unprovoked,USA,M,N
191,2015.06.14.b,Unprovoked,USA,M,N
192,2015.06.14.a,Unprovoked,USA,F,N
193,2015.06.13,Unprovoked,USA,F,N
194,2015.06.11,Unprovoked,USA,F,N
195,2015.06.07,Unprovoked,USA,M,N
196,2015.06.05,Unprovoked,USA,F,N
197,2015.06.01,Unprovoked,REUNION,M,N
198,2015.05.29.b,Unprovoked,USA,F,N
199,2015.05.29.a,Unprovoked,USA,F,N
200,2015.05.25,Unprovoked,FRENCH POLYNESIA,M,N
201,2015.05.24,Unprovoked,USA,F,N
202,2015.05.20,Unprovoked,USA,M,N
203,2015.05.15,Unprovoked,USA,M,N
204,2015.05.09,Unprovoked,NEW CALEDONIA,M,Y
205,2015.05.07,Unprovoked,USA,M,N
206,2015.05.03,Unprovoked,AUSTRALIA,M,N
207,2015.05.02,Unprovoked,SOUTH AFRICA,M,N
208,2015.04.29,Unprovoked,USA,F,Y
209,2015.04.26,Unprovoked,USA,M,N
210,2015.04.25,Unprovoked,AUSTRALIA,M,N
211,2015.04.24.c,Unprovoked,AUSTRALIA,M,N
212,2015.04.13,Unprovoked,USA,M,N
213,2015.04.11,Unprovoked,AUSTRALIA,M,N
214,2015.04.12,Unprovoked,REUNION,M,Y
215,2015.03.31,Invalid,BRAZIL,M,N
216,2015.04.03,Unprovoked,USA,M,N
217,2015.03.29,Invalid,ITALY,M,Y
218,2015.03.26,Boat,SOUTH AFRICA,M,N
219,2015.03.21,Unprovoked,EGYPT,M,Y
220,2015.03.18,Unprovoked,USA,M,N
221,2015.03.16,Unprovoked,FRENCH POLYNESIA,M,N
222,2015.03.11,Boat,AUSTRALIA,M,N
223,2015.03.10,Provoked,MEXICO,M,N
224,2015.03.07,Unprovoked,FRENCH POLYNESIA,M,N
225,2015.02.15,Boat,ATLANTIC OCEAN,Unknown,N
226,2015.02.14,Unprovoked,REUNION,F,Y
227,2015.02.09,Unprovoked,AUSTRALIA,M,Y
228,2015.02.08,Unprovoked,AUSTRALIA,M,N
229,2015.02.05,Unprovoked,AUSTRALIA,M,N
230,2015.01.30,Boat,AUSTRALIA,M,N
231,2015.01.27,Provoked,USA,M,N
232,2015.01.24,Unprovoked,AUSTRALIA,M,N
233,2015.01.19.b,Boat,USA,M,N
234,2015.01.19.a,Invalid,AUSTRALIA,F,N
235,2015.01.17,Boat,AUSTRALIA,M,N
236,2015.01.16,Unprovoked,AUSTRALIA,M,N
237,2015.01.08,Invalid,USA,M,N
238,2015.01.06,Unprovoked,BAHAMAS,F,N
239,2015.01.03,Unprovoked,SOUTH AFRICA,M,N
240,2015.01.01,Unprovoked,USA,M,N
241,2014.12.29.b,Unprovoked,AUSTRALIA,Unknown,N
242,2014.12.29.a,Unprovoked,AUSTRALIA,M,Y
243,2014.12.28.d,Sea Disaster,GREECE,Unknown,N
244,2014.12.28.c,Invalid,SOUTH AFRICA,Unknown,N
245,2014.12.28.b,Unprovoked,USA,M,N
246,2014.12.28.a,Provoked,AUSTRALIA,M,N
247,2014.12.23.R,Unprovoked,JAPAN,M,N
248,2014.12.15,Unprovoked,AUSTRALIA,M,Y
249,2014.12.03.R,Provoked,SPAIN,M,N
250,2014.11.29,Unprovoked,AUSTRALIA,M,N
251,2014.11.20,Provoked,MAURITIUS,M,Y
252,2014.11.19,Boat,AUSTRALIA,M,N
253,2014.11.16,Unprovoked,USA,M,N
254,2014.11.17,Boat,USA,Unknown,N
255,2014.11.13,Unprovoked,USA,M,N
256,2014.11.10,Unprovoked,AUSTRALIA,M,N
257,2014.11.08,Unprovoked,USA,M,N
258,2014.10.31,Unprovoked,USA,F,N
259,2014.10.30,Provoked,AUSTRALIA,M,N
260,2014.10.22,Unprovoked,USA,F,N
261,2014.10.20,Unprovoked,USA,M,N
262,2014.10.19,Boat,USA,F,N
263,2014.10.18,Unprovoked,USA,M,N
264,2014.10.17,Unprovoked,AUSTRALIA,F,N
265,2014.10.14,Unprovoked,USA,F,N
266,2014.10.12,Unprovoked,USA,F,N
267,2014.10.07,Unprovoked,USA,F,N
268,2014.10.11,Boat,AUSTRALIA,M,N
269,2014.10.05.b,Unprovoked,USA,M,N
270,2014.10.05.a,Unprovoked,USA,M,N
271,2014.10.03.b,Boat,USA,M,N
272,2014.10.03.a,Boat,USA,M,N
273,2014.10.02.b,Unprovoked,USA,M,N
274,2014.10.02.a,Unprovoked,AUSTRALIA,M,N
275,2014.09.21,Unprovoked,USA,M,N
276,2014.09.13.R,Unprovoked,FRENCH POLYNESIA,F,N
277,2014.09.13,Invalid,USA,M,N
278,2014.09.09,Unprovoked,AUSTRALIA,M,Y
279,2014.09.06,Unprovoked,USA,M,N
280,2014.09.03,Unprovoked,USA,F,N
281,2014.09.02,Provoked,USA,M,N
282,2014.09.00,Unprovoked,SPAIN,M,N
283,2014.08.31,Unprovoked,USA,F,N
284,2014.08.29.b,Unprovoked,USA,M,N
285,2014.08.29.a,Invalid,USA,Unknown,N
286,2014.08.28,Provoked,USA,M,N
287,2014.08.27.c,Unprovoked,SPAIN,F,N
288,2014.08.27.b,Unprovoked,USA,M,N
289,2014.08.27.a,Unprovoked,USA,F,N
290,2014.08.25,Provoked,USA,M,N
291,2014.08.24,Unprovoked,USA,Unknown,N
292,2014.08.16,Unprovoked,AUSTRALIA,M,N
293,2014.08.12,Unprovoked,USA,M,N
294,2014.08.10,Unprovoked,USA,M,N
295,2014.08.09.R,Unprovoked,BAHAMAS,M,N
296,2014.08.09,Unprovoked,USA,F,N
297,2014.08.08,Unprovoked,USA,M,N
298,2014.08.06,Unprovoked,USA,M,N
299,2014.08.05,Unprovoked,USA,F,N
300,2014.08.02,Unprovoked,USA,M,N
301,2014.08.02,Unprovoked,USA,M,N
302,2014.08.01,Unprovoked,SOUTH AFRICA,M,N
303,2014.08.00,Invalid,NAN,M,Y
304,2014.07.27,Unprovoked,USA,M,N
305,2014.07.22,Unprovoked,REUNION,M,N
306,2014.07.21,Unprovoked,USA,M,N
307,2014.07.20,Unprovoked,SPAIN,Unknown,N
308,2014.07.16,Unprovoked,USA,M,N
309,2014.07.14,Unprovoked,USA,M,N
310,2014.07.13,Invalid,BAHAMAS,M,Y
311,2014.07.12,Unprovoked,USA,M,N
312,2014.07.09,Unprovoked,USA,M,N
313,2014.07.05.b,Provoked,USA,M,N
314,2014.07.05.a,Unprovoked,USA,M,N
315,2014.07.03,Unprovoked,USA,M,N
316,2014.06.27.R,Boat,ST. MARTIN,M,N
317,2014.06.25,Unprovoked,BAHAMAS,M,N
318,2014.06.18.b,Unprovoked,AUSTRALIA,M,N
319,2014.06.18.a,Unprovoked,AUSTRALIA,M,N
320,2014.06.17.R,Provoked,AUSTRALIA,M,N
321,2014.06.09.c,Unprovoked,BRAZIL,M,N
322,2014.06.09.b,Unprovoked,USA,M,N
323,2014.06.09.a,Unprovoked,AUSTRALIA,M,N
324,2014.06.08,Unprovoked,JAPAN,M,N
325,2014.06.07,Unprovoked,USA,F,N
326,2014.06.01.c,Unprovoked,USA,F,N
327,2014.06.01.b,Unprovoked,AUSTRALIA,M,N
328,2014.06.01.a,Unprovoked,USA,F,N
329,2014.05.27.R,Unprovoked,AUSTRALIA,F,N
330,2014.05.23,Unprovoked,FRANCE,M,N
331,2014.05.22,Provoked,AUSTRALIA,M,N
332,2015.11.20,Unprovoked,ECUADOR,M,N
333,2014.05.15,Unprovoked,USA,F,N
334,2014.05.14,Unprovoked,AUSTRALIA,M,N
335,2014.05.13,Unprovoked,USA,F,N
336,2014.05.11,Unprovoked,USA,M,N
337,2014.05.10.R,Invalid,USA,M,N
338,2014.05.06,Unprovoked,USA,F,N
339,2014.05.01,Unprovoked,USA,M,N
340,2014.04.24,Unprovoked,AUSTRALIA,M,N
341,2014.04.22,Unprovoked,USA,M,N
342,2014.04.15,Unprovoked,USA,M,N
343,2014.04.12.R,Boat,SOUTH AFRICA,Unknown,N
344,2014.04.12,Provoked,SOUTH AFRICA,M,N
345,2014.04.04.b,Unprovoked,USA,M,N
346,2014.04.04.a,Unprovoked,USA,M,N
347,2014.04.03,Unprovoked,AUSTRALIA,F,Y
348,2014.03.29,Invalid,AUSTRALIA,M,Y
349,2014.03.22.b,Unprovoked,SOUTH AFRICA,M,Y
350,2014.03.22.a,Unprovoked,USA,M,N
351,2014.03.21,Unprovoked,USA,M,N
352,2014.03.18.c,Unprovoked,NEW CALEDONIA,M,N
353,2014.03.18.b,Unprovoked,AUSTRALIA,M,N
354,2014.03.13,Invalid,CAYMAN ISLANDS,M,N
355,2014.03.18,Invalid,AUSTRALIA,F,N
356,2014.03.12,Unprovoked,AUSTRALIA,M,N
357,2014.03.02,Unprovoked,USA,M,N
358,2014.02.20,Unprovoked,FRENCH POLYNESIA,M,N
359,2014.02.17,Boat,PAPUA NEW GUINEA,M,N
360,2014.02.08,Unprovoked,AUSTRALIA,M,Y
361,2014.02.07.b,Provoked,TRINIDAD AND TOBAGO,M,N
362,2014.02.07,Unprovoked,NEW ZEALAND,M,N
363,2014.01.26,Provoked,AUSTRALIA,M,N
364,2014.01.25,Unprovoked,NEW ZEALAND,M,N
365,2014.01.04,Sea Disaster,JAPAN,M,N
366,2014.00.00,Boat,NEW ZEALAND,Unknown,N
367,2013.12.25,Unprovoked,NEW CALEDONIA,M,N
368,2013.12.16,Unprovoked,SOUTH AFRICA,M,N
369,2013.12.13,Unprovoked,KIRIBATI,M,N
370,2013.12.11,Unprovoked,USA,M,N
371,2013.12.10,Unprovoked,USA,M,N
372,2013.12.05,Unprovoked,AUSTRALIA,M,N
373,2013.12.02,Unprovoked,USA,M,Y
374,2013.11.30,Unprovoked,AUSTRALIA,M,Y
375,2013.11.29,Unprovoked,USA,F,N
376,2013.11.23.a,Unprovoked,AUSTRALIA,M,Y
377,2013.11.22,Unprovoked,USA,M,N
378,2013.11.12,Unprovoked,AUSTRALIA,M,N
379,2013.11.10,Provoked,BAHAMAS,M,N
380,2013.11.07.b,Unprovoked,USA,M,N
381,2013.11.07.a,Unprovoked,USA,M,N
382,2013.10.31,Unprovoked,USA,M,N
383,2013.10.28,Unprovoked,AUSTRALIA,F,N
384,2013.10.26.b,Unprovoked,REUNION,M,N
385,2013.10.26.a,Unprovoked,AUSTRALIA,M,N
386,2013.10.24,Unprovoked,AUSTRALIA,M,N
387,2013.10.23,Unprovoked,USA,M,N
388,2013.10.20,Unprovoked,USA,M,N
389,2013.10.19,Unprovoked,USA,M,N
390,2013.10.11,Unprovoked,SOUTH AFRICA,M,Y
391,2013.10.08,Unprovoked,AUSTRALIA,M,N
392,2013.10.05,Unprovoked,USA,M,N
393,2013.10.05,Unprovoked,USA,M,N
394,2013.09.29.b,Unprovoked,USA,M,N
395,2013.09.29.a,Provoked,ISRAEL,M,N
396,2013.09.25,Unprovoked,USA,M,N
397,2013.09.21.b,Unprovoked,USA,M,N
398,2013.09.21.a,Unprovoked,USA,M,N
399,2013.09.14,Unprovoked,USA,M,N
400,2013.09.12,Unprovoked,USA,F,N
401,2013.09.08,Unprovoked,USA,F,Unknown
402,2013.09.07.b,Provoked,USA,M,N
403,2013.09.07.a,Unprovoked,USA,M,N
404,2013.09.02,Unprovoked,USA,M,N
405,2013.09.01.c,Provoked,USA,M,N
406,2013.09.01.b,Unprovoked,BAHAMAS,M,N
407,2013.09.01.a,Unprovoked,USA,M,N
408,2013.08.31.b,Unprovoked,BAHAMAS,M,N
409,2013.08.31.a,Unprovoked,USA,M,N
410,2013.08.29,Invalid,USA,F,N
411,2013.08.26,Provoked,FRANCE,M,N
412,2013.08.25.b,Unprovoked,USA,F,N
413,2013.08.25,Unprovoked,AUSTRALIA,M,N
414,2013.08.18,Unprovoked,USA,M,N
415,2013.08.17,Unprovoked,USA,F,N
416,2013.08.14,Unprovoked,USA,F,Y
417,2013.08.13,Unprovoked,USA,F,N
418,2013.08.11,Unprovoked,USA,M,N
419,2013.08.08.R,Unprovoked,SOUTH AFRICA,M,N
420,2013.08.05,Unprovoked,USA,M,N
421,2013.07.31,Unprovoked,USA,F,N
422,2013.07.30,Unprovoked,USA,M,N
423,2013.07.29.c,Unprovoked,BAHAMAS,M,N
424,2013.07.29.b,Unprovoked,MEXICO,F,N
425,2013.07.29.a,Unprovoked,USA,M,N
426,2013.07.28.b,Unprovoked,BAHAMAS,M,N
427,2013.07.28.a,Unprovoked,BAHAMAS,M,N
428,2013.07.22,Unprovoked,BRAZIL,F,Y
429,2013.07.19,Unprovoked,USA,F,N
430,2013.07.17.R,Unprovoked,USA,M,N
431,2013.07.15,Unprovoked,REUNION,F,Y
432,2013.07.14,Unprovoked,DIEGO GARCIA,M,Y
433,2013.07.11,Unprovoked,USA,F,N
434,2013.07.09,Invalid,SPAIN,M,N
435,2013.07.02,Unprovoked,AUSTRALIA,M,N
436,2013.06.30,Unprovoked,TAIWAN,M,N
437,2013.06.27,Invalid,JAMAICA,M,Y
438,2013.06.25.c,Unprovoked,USA,M,N
439,2013.06.25.b,Unprovoked,USA,M,N
440,2013.06.25.a,Unprovoked,USA,M,N
441,2013.06.18,Unprovoked,USA,M,N
442,2013.06.17,Unprovoked,USA,M,N
443,2013.06.16,Unprovoked,SOUTH AFRICA,M,N
444,2013.06.15,Unprovoked,USA,F,N
445,2013.06.14.R,Unprovoked,USA,F,N
446,2013.06.06.b,Provoked,USA,M,N
447,2013.06.06.a,Unprovoked,AUSTRALIA,M,N
448,2013.05.27.b,Unprovoked,USA,M,N
449,2013.05.27.a,Unprovoked,USA,M,N
450,2013.05.23.b,Unprovoked,BRAZIL,M,Y
451,2013.05.23.a,Provoked,PALESTINIAN TERRITORIES,M,N
452,2013.05.14,Unprovoked,ECUADOR,M,N
453,2013.05.08.b,Invalid,USA,M,Y
454,2013.05.08.a,Unprovoked,REUNION,M,Y
455,2013.05.04.a,Unprovoked,USA,M,N
456,2013.04.28,Provoked,AUSTRALIA,M,N
457,2013.04.24,Unprovoked,MEXICO,F,N
458,2013.04.21,Unprovoked,AUSTRALIA,M,N
459,2013.04.17,Unprovoked,USA,M,N
460,2013.04.14,Unprovoked,SOUTH AFRICA,M,N
461,2013.04.13.b,Unprovoked,USA,M,N
462,2013.04.13.a,Unprovoked,GUAM,M,Y
463,2013.04.10,Unprovoked,FRENCH POLYNESIA,M,N
464,2013.04.04,Unprovoked,USA,M,N
465,2013.04.02.R,Invalid,AUSTRALIA,M,Y
466,2013.04.02.a,Unprovoked,USA,M,N
467,2013.03.31,Invalid,AUSTRALIA,M,N
468,2013.03.29,Unprovoked,SEYCHELLES,M,N
469,2013.03.21.R,Unprovoked,BELIZE,F,N
470,2013.03.21,Unprovoked,BAHAMAS,M,N
471,2013.03.16.b,Provoked,SOUTH AFRICA,M,N
472,2013.03.16.a,Unprovoked,SOUTH AFRICA,M,N
473,2013.03.12,Unprovoked,JAMAICA,M,Y
474,2013.03.10.b,Unprovoked,AUSTRALIA,M,N
475,2013.03.10.a,Unprovoked,PHILIPPINES,M,N
476,2013.03.03,Unprovoked,SOUTH AFRICA,M,N
477,2013.02.27,Unprovoked,NEW ZEALAND,M,Y
478,2013.02.21.b,Unprovoked,USA,Unknown,N
479,2013.02.21.a,Unprovoked,USA,M,N
480,2013.02.10,Unprovoked,USA,M,N
481,2013.02.09,Unprovoked,FRENCH POLYNESIA,M,N
482,2013.02.01,Unprovoked,JAMAICA,M,N
483,2013.01.26,Boat,AUSTRALIA,M,N
484,2013.01.25,Unprovoked,AUSTRALIA,M,N
485,2013.01.21.R,Invalid,AUSTRALIA,M,N
486,2013.01.16,Unprovoked,USA,M,N
487,2013.01.13,Unprovoked,NEW ZEALAND,M,N
488,2013.01.05,Unprovoked,AUSTRALIA,M,N
489,2012.12.31,Unprovoked,USA,M,N
490,2012.12.30,Unprovoked,AUSTRALIA,M,N
491,2012.12.28,Unprovoked,AUSTRALIA,M,N
492,2012.12.25,Unprovoked,SOUTH AFRICA,M,Y
493,2012.12.19,Unprovoked,AUSTRALIA,M,N
494,2012.12.05,Unprovoked,USA,M,N
495,2012.12.02,Unprovoked,AUSTRALIA,M,N
496,2012.12.00,Unprovoked,NEW ZEALAND,F,N
497,2012.11.30,Unprovoked,USA,M,N
498,2012.11.27,Invalid,AUSTRALIA,M,N
499,2012.11.22,Unprovoked,MEXICO,M,Y
500,2012.11.19,Unprovoked,USA,M,N
501,2012.11.04.b,Unprovoked,USA,M,N
502,2012.11.04.a,Unprovoked,USA,M,N
503,2012.10.30,Unprovoked,USA,M,N
504,2012.10.27,Unprovoked,USA,F,N
505,2012.10.23,Unprovoked,USA,M,Y
506,2012.10.19,Unprovoked,USA,F,N
507,2012.10.18.b,Unprovoked,USA,M,N
508,2012.10.18.a,Unprovoked,USA,M,N
509,2012.10.16,Invalid,USA,M,N
510,2012.10.11.R,Unprovoked,NIGERIA,F,N
511,2012.10.07,Unprovoked,USA,M,N
512,2012.10.02,Unprovoked,AUSTRALIA,M,N
513,2012.09.25,Unprovoked,USA,M,N
514,2012.09.24,Unprovoked,USA,M,N
515,2012.09.16,Unprovoked,USA,M,N
516,2012.09.10,Unprovoked,TONGA,F,N
517,2012.09.09,Unprovoked,USA,Unknown,N
518,2012.09.08.b,Unprovoked,USA,M,N
519,2012.09.08.a,Unprovoked,USA,M,N
520,2012.09.06.b,Unprovoked,USA,M,N
521,2012.09.06.a,Unprovoked,USA,M,N
522,2012.09.04,Unprovoked,USA,M,N
523,2012.09.02.b,Unprovoked,USA,F,N
524,2012.09.02.b,Provoked,USA,Unknown,N
525,2012.09.02.a,Unprovoked,USA,F,N
526,2012.08.31,Provoked,SCOTLAND,M,N
527,2012.08.28,Unprovoked,AUSTRALIA,M,N
528,2012.08.26,Unprovoked,BRAZIL,M,Y
529,2012.08.15,Unprovoked,USA,M,N
530,2012.08.11,Boat,AUSTRALIA,Unknown,N
