,Case Number,Type,Country,Gender,Fatality
4186,1952.05.00,Unprovoked,INDIA,M,N
4187,1952.04.06,Boat,AUSTRALIA,Unknown,N
4188,1952.04.00,Provoked,SUDAN,M,N
4189,1952.03.30,Unprovoked,NETHERLANDS ANTILLES,M,N
4190,1952.01.23,Provoked,MAURITIUS,M,N
4191,1952.01.07,Unprovoked,AUSTRALIA,M,N
4192,1952.00.00.e,Unprovoked,LIBERIA,M,Y
4193,1952.00.00.d,Unprovoked,PAPUA NEW GUINEA,M,N
4194,1952.00.00.c,Unprovoked,PAPUA NEW GUINEA,M,Y
4195,1952.00.00.b,Unprovoked,PAPUA NEW GUINEA,M,Y
4196,1952.00.00.a,Unprovoked,USA,M,Y
4197,1951.12.21,Unprovoked,MOZAMBIQUE,M,Y
4198,1951.12.16,Provoked,AUSTRALIA,M,N
4199,1951.12.06,Unprovoked,AUSTRALIA,M,Y
4200,1951.11.29,Unprovoked,SOUTH AFRICA,M,N
4201,1951.11.28.b,Unprovoked,JAMAICA,M,N
4202,1951.11.28.a,Unprovoked,SOUTH AFRICA,M,N
4203,1951.11.23.R,Unprovoked,PHILIPPINES,M,Y
4204,1951.10.22,Unprovoked,AUSTRALIA,M,Y
4205,1951.10.05,Invalid,NORTH ATLANTIC OCEAN,Unknown,N
4206,1951.09.29,Unprovoked,ITALY,F,Y
4207,1951.09.03.R,Unprovoked,ITALY,M,N
4208,1951.09.02.R,Unprovoked,AUSTRALIA,M,Y
4209,1951.08.17.b,Unprovoked,GREECE,M,N
4210,1951.08.17.a,Unprovoked,GREECE,F,Y
4211,1951.08.16.R,Unprovoked,ITALY,M,N
4212,1951.08.00,Unprovoked,COLUMBIA,Unknown,Y
4213,1951.07.19.R,Unprovoked,USA,M,N
4214,1951.07.11,Unprovoked,PACIFIC OCEAN,M,N
4215,1951.06.25,Unprovoked,USA,M,Y
4216,1951.06.00,Unprovoked,FRENCH POLYNESIA,M,N
4217,1951.05.22,Unprovoked,MEXICO,M,N
4218,1951.05.09.R,Provoked,ITALY,Unknown,N
4219,1951.03.26,Provoked,AUSTRALIA,M,N
4220,1951.03.24,Unprovoked,AUSTRALIA,M,N
4221,1951.03.15,Unprovoked,SOUTH AFRICA,M,N
4222,1951.02.19,Unprovoked,SOUTH AFRICA,M,N
4223,1951.02.03,Unprovoked,AUSTRALIA,M,N
4224,1951.02.01,Unprovoked,AUSTRALIA,M,N
4225,1951.01.21,Unprovoked,SOUTH AFRICA,M,Y
4226,1951.01.03,Invalid,AUSTRALIA,M,Y
4227,1951.00.00,Unprovoked,NEW GUINEA,Unknown,Y
4228,1950.12.31,Unprovoked,AUSTRALIA,M,N
